widget,requests,users
"ssp5_8_5",146444,1816
historical,132350,1924
"ssp2_4_5",124042,1572
"ssp1_2_6",111467,970
"ssp3_7_0",28408,452
ssp585,16693,82
ssp245,13883,88
"ssp1_1_9",7905,263
ssp370,4583,21
ssp126,3960,51
"ssp4_6_0",1700,81
"ssp4_3_4",712,85
"ssp5_3_4os",197,30
ssp119,77,4
ssp434,8,2
ssp460,4,1
"ssp534-over",4,1
