variable_code,variable_long_name,time_frequency,total_size_GB,number_of_downloads
zg700,Geopotential Height,6hr,1714.37,3119
tasmin,Daily Minimum Near-Surface Air Temperature,mon,1585.80,80913
rsds,Surface Downwelling Shortwave Radiation,mon,1584.24,52547
clwvi,Condensed Water Path,day,1453.85,5068
tauv,Surface Downward Northward Wind Stress,day,1427.80,2794
tauu,Surface Downward Eastward Wind Stress,day,1415.25,2725
zg200,Geopotential Height,day,1402.53,5938
va300,Northward Wind,6hr,1400.67,2990
ua300,Eastward Wind,6hr,1398.21,3189
hus200,Specific Humidity,6hr,1370.93,2880
hus925,Specific Humidity,6hr,1340.51,2706
va100m,Northward wind,3hr,1330.63,810
ua100m,Eastward wind,3hr,1299.78,753
ta,Air Temperature,day,1208.38,2002
cll,Low Level Cloud Fraction,day,1202.62,3117
zg850,Geopotential Height,3hr,1136.63,941
evspsbl,Evaporation,mon,1081.62,32694
va,Northward Wind,day,1066.39,1013
ta925,Air Temperature,6hr,1049.04,2782
ua,Eastward Wind,day,984.23,1060
va700,Northward Wind,3hr,981.69,528
hus700,Specific Humidity,day,980.97,1120
va100m,Northward wind at 100 m,3hr,967.02,545
va100,Northward Wind,6hr,964.61,1136
ua100m,Eastward wind at 100 m,3hr,963.82,545
ta300,Air Temperature,6hr,955.37,2704
ua700,Eastward Wind,3hr,940.21,516
ua100,Eastward Wind,6hr,934.88,1153
hus500,Specific Humidity,day,926.93,1186
hus300,Specific Humidity,6hr,903.24,1581
va600,Northward Wind,6hr,887.39,1526
sfcWind,Near-Surface Wind Speed,mon,887.08,35727
va400,Northward Wind,6hr,881.74,1528
ta400,Air Temperature,6hr,878.03,2487
ua600,Eastward Wind,6hr,861.46,1525
tds,2m Dew Point Temperature,1hr,854.93,216
ua400,Eastward Wind,6hr,851.41,1525
ta700,Air Temperature,day,851.34,1250
hus600,Specific Humidity,6hr,851.23,1479
hus400,Specific Humidity,6hr,840.95,1479
hurs,Near-Surface Relative Humidity,mon,819.24,34179
tasmaxAdjust,Bias-Adjusted Daily Maximum Near-Surface Air Temperature,day,814.74,3516
clivi,Ice Water Path,day,807.68,2631
zg925,Geopotential Height,6hr,799.98,1707
rlds,Surface Downwelling Longwave Radiation,mon,786.51,27413
clh,High Level Cloud Fraction,day,752.85,2092
snw,Surface Snow Amount,6hr,752.62,5670
va700,Northward Wind,day,752.00,810
zg200,Geopotential Height,3hr,736.95,695
clm,Mid Level Cloud Fraction,day,735.77,1859
evspsblpot,Potential Evapotranspiration,6hr,701.76,8366
zg,Geopotential Height,day,701.12,1334
va925,Northward Wind,day,693.76,685
ua700,Eastward Wind,day,677.32,769
tasminAdjust,Bias-Adjusted Daily Minimum Near-Surface Air Temperature,day,664.48,2650
ta600,Air Temperature,6hr,659.95,1526
zg850,Geopotential Height,day,648.29,996
zg300,Geopotential Height,6hr,624.55,1534
hus975,Specific Humidity,6hr,618.56,1900
zg400,Geopotential Height,6hr,615.37,1496
zg600,Geopotential Height,6hr,606.35,1479
hus200,Specific Humidity,day,602.58,835
ua925,Eastward Wind,day,588.04,596
hus925,Specific Humidity,day,568.11,661
hus100,Specific Humidity,6hr,558.49,713
ts,Surface Temperature,1hr,552.86,113
zg700,Geopotential Height,3hr,549.95,395
zg700,Geopotential Height,day,541.38,780
ta975,Air Temperature,6hr,535.32,2226
ta100,Air Temperature,6hr,529.24,789
prAdjust,Bias-Adjusted Precipitation,day,522.39,2898
