variable_code,variable_long_name,time_frequency,mip_table,total_size_GB,number_of_downloads
psl,Sea Level Pressure,mon,Amon,53983.42,8943944
pfull,Pressure at Model Full-Levels,day,CFday,53003.00,8852
bigthetao,Sea Water Conservative Temperature,mon,Omon,52593.45,106222
zg500,Geopotential Height at 500hPa,day,AERday,51856.15,389393
sfcwind,Near-Surface Wind Speed,3hr,E3hr,51740.29,39468
zos,Sea Surface Height Above Geoid,mon,Omon,50408.14,1654397
masscello,Ocean Grid-Cell Mass per Area,mon,Omon,49763.05,120791
dissoc,Dissolved Organic Carbon Concentration,mon,Omon,48816.86,17487
rlus,Surface Upwelling Longwave Radiation,day,day,47398.05,240683
tos,Sea Surface Temperature,3hrPt,3hr,47288.53,19033
o3,Mole Fraction of O3,mon,AERmon,46304.55,65965
hursmin,Daily Minimum Near-Surface Relative Humidity,day,day,46249.53,196800
ps,Surface Air Pressure,3hrPt,3hr,45853.01,50625
phyc,Phytoplankton Carbon Concentration,mon,Omon,45132.85,23315
siconc,Sea-Ice Area Percentage (Ocean Grid),day,SIday,43598.64,306922
nh4,Dissolved Ammonium Concentration,mon,Omon,43460.25,9381
evspsbl,Evaporation Including Sublimation and Transpiration,mon,Amon,42963.55,3706394
zooc,Zooplankton Carbon Concentration,mon,Omon,42761.21,22296
expc,Downward Flux of Particulate Organic Carbon,mon,Omon,42376.20,17919
co3,Carbonate Ion Concentration,mon,Omon,42044.41,15477
hur,Relative Humidity,mon,CFmon,41832.70,46094
prsn,Snowfall Flux,day,day,40771.29,376693
hfls,Surface Upward Latent Heat Flux,3hr,3hr,39938.21,30729
clt,Total Cloud Cover Percentage,day,day,39918.12,200836
rsus,Surface Upwelling Shortwave Radiation,day,day,39893.05,183090
prc,Convective Precipitation,day,day,38551.89,276627
hfss,Surface Upward Sensible Heat Flux,3hr,3hr,38258.41,26704
mmrdust,Dust Aerosol Mass Mixing Ratio,mon,AERmon,37269.40,42281
ps,Surface Air Pressure,day,CFday,36731.83,154556
mmrss,Sea-Salt Aerosol Mass Mixing Ratio,mon,AERmon,36575.28,40734
mmrbc,Elemental Carbon Mass Mixing Ratio,mon,AERmon,33927.65,45201
mmrso4,Aerosol Sulfate Mass Mixing Ratio,mon,AERmon,33855.14,42871
psl,Sea Level Pressure,6hr,6hrPlev,32729.03,94504
sos,Sea Surface Salinity,mon,Omon,32684.01,1348218
hus,Specific Humidity,6hr,6hrPlev,32481.53,11900
pp,Primary Carbon Production by Phytoplankton,mon,Omon,32465.37,19577
ts,Surface Temperature,mon,Amon,32360.64,3312253
phalf,Pressure on Model Half-Levels,day,CFday,32036.15,7291
hus,Specific Humidity,6hr,6hrLev,31946.59,2431
vas,Northward Near-Surface Wind,6hrPt,6hrPlevPt,31944.82,60105
rlus,Surface Upwelling Longwave Radiation,3hr,3hr,31715.66,27707
hus,Specific Humidity,subhrPt,Esubhr,31431.27,3797
va,Northward Wind,3hrPt,E3hrPt,31276.19,11598
mlotst,Ocean Mixed Layer Thickness Defined by Sigma T,mon,Omon,31128.27,1186039
