variable_code,variable_long_name,time_frequency,mip_table,total_size_GB,number_of_downloads
mrsol,Total Water Content of Soil Layer,6hrPt,6hrPlevPt,5457.81,3675
intpp,Primary Organic Carbon Production by All Types of Phytoplankton,mon,Omon,5414.48,88014
osaltpadvect,Tendency of Sea Water Salinity Expressed as Salt Content Due to Parameterized Eddy Advection,mon,Emon,5386.27,1104
pon,Mole Concentration of Particulate Organic Matter Expressed as Nitrogen in Sea Water,mon,Omon,5275.08,4643
tnt,Tendency of Air Temperature,subhrPt,CFsubhr,5182.95,5271
expp,Sinking Particulate Organic Phosphorus Flux,mon,Emon,5151.97,606
tslsi,Surface Temperature Where Land or Sea Ice,3hrPt,3hr,5114.31,8623
ta,Air Temperature,3hr,E3hrPt,5085.46,2520
dissic,Dissolved Inorganic Carbon Concentration,yr,Oyr,5084.35,37417
opottemprmadvect,Tendency of Sea Water Potential Temperature Expressed as Heat Content Due to Residual Mean Advection,mon,Emon,5055.14,537
phyp,Mole Concentration of Total Phytoplankton Expressed as Phosphorus in Sea Water,mon,Omon,5048.12,3867
rld4co2,Downwelling Longwave Radiation 4XCO2 Atmosphere,mon,CFmon,5022.47,3319
tnhusa,Tendency of Specific Humidity Due to Advection,subhrPt,CFsubhr,5007.01,5538
rsdsdiff,Surface Diffuse Downwelling Shortwave Radiation,3hr,3hr,5002.79,4432
sisnthick,Snow Thickness,day,SIday,4986.51,22020
expn,Sinking Particulate Organic Nitrogen Flux,mon,Emon,4961.74,662
chl,Mass Concentration of Total Phytoplankton Expressed as Chlorophyll in Sea Water,yr,Oyr,4945.14,28889
clcalipso,CALIPSO Percentage Cloud Cover,mon,CFmon,4910.65,4002
mrso,Total Soil Moisture Content,mon,Lmon,4902.27,1120926
dissi14cabio,Abiotic Dissolved Inorganic Carbon-14 Concentration,mon,Omon,4901.12,844
zfullo,Depth Below Geoid of Ocean Layer,mon,Omon,4899.68,2208
pbo,Sea Water Pressure at Sea Floor,mon,Omon,4873.04,180994
concdust,Concentration of Dust,mon,Emon,4866.24,1836
rsucs4co2,Upwelling Clear-Sky Shortwave Radiation 4XCO2 Atmosphere,mon,CFmon,4859.09,3205
rlutcs,TOA Outgoing Clear-Sky Longwave Radiation,3hr,E3hr,4858.85,6912
pop,Mole Concentration of Particulate Organic Matter Expressed as Phosphorus in Sea Water,mon,Omon,4783.17,4324
opottempdiff,Tendency of Sea Water Potential Temperature Expressed as Heat Content Due to Parameterized Dianeutral Mixing,mon,Emon,4776.45,970
uo,Sea Water X Velocity,day,Oday,4769.59,1398
rlucs4co2,Upwelling Clear-Sky Longwave Radiation 4XCO2 Atmosphere,mon,CFmon,4753.52,3196
mmrsoa,Secondary Organic Aerosol Mass Mixing Ratio,mon,AERmon,4740.45,9984
tntmp,Tendency of Air Temperature Due to Model Physics,subhrPt,CFsubhr,4717.97,5563
od550aer,Ambient Aerosol Optical Thickness at 550nm,mon,AERmon,4663.69,194226
zg,Geopotential Height,mon,Emon,4648.01,42003
rsd4co2,Downwelling Shortwave Radiation 4XCO2 Atmosphere,mon,CFmon,4644.77,3343
n2o,Mole Fraction of N2O,mon,AERmon,4639.15,3955
ta500,Air Temperature,day,Eday,4628.02,43140
rsdoabsorb,Net Rate of Absorption of Shortwave Energy in Ocean Layer,mon,Emon,4625.16,2601
clivi,Ice Water Path,mon,Amon,4609.67,473544
rsutcs,TOA Outgoing Clear-Sky Shortwave Radiation,3hr,E3hr,4599.06,7680
zmla,Height of Boundary Layer,day,Eday,4581.69,20651
wap500,Pressure Tendency,day,CFday,4569.61,17298
tnhusmp,Tendency of Specific Humidity Due to Model Physics,subhrPt,CFsubhr,4562.03,5537
psl,Sea Level Pressure,6hr,6hrPlevPt,4497.82,16500
hfy,Ocean Heat Y Transport,mon,Omon,4483.74,87692
tnta,Tendency of Air Temperature Due to Advection,subhrPt,CFsubhr,4474.60,5417
si,Total Dissolved Inorganic Silicon Concentration,yr,Oyr,4440.86,20593
sfcwind,Near-Surface Wind Speed,6hrPt,6hrPlevPt,4436.57,9116
sivol,Sea-Ice Volume per Area,mon,SImon,4413.09,414191
mmrnh4,NH4 Mass Mixing Ratio,mon,AERmon,4400.29,9831
zhalfo,Depth Below Geoid of Interfaces Between Ocean Layers,mon,Omon,4382.69,32839
zg1000,Geopotential Height at 1000hPa,day,AERday,4367.61,40934
tntscpbl,Tendency of Air Temperature Due to Stratiform Cloud and Precipitation and Boundary Layer Mixing,subhrPt,CFsubhr,4350.85,5306
ts,Surface Temperature,6hrPt,6hrPlevPt,4334.48,14526
tntrlcs,Tendency of Air Temperature Due to Clear Sky Longwave Radiative Heating,mon,Emon,4278.51,1327
tntr,Tendency of Air Temperature Due to Radiative Heating,subhrPt,CFsubhr,4272.21,5282
loadbc,Load of Black Carbon Aerosol,day,Eday,4196.72,9439
phypico,Mole Concentration of Picophytoplankton Expressed as Carbon in Sea Water,mon,Omon,4158.91,3185
ch4,Mole Fraction of CH4,mon,Amon,4088.19,13559
tnhus,Tendency of Specific Humidity,subhrPt,CFsubhr,3967.47,5263
prlsns,Stratiform Snowfall Flux,3hrPt,CF3hr,3937.60,931
hno3,HNO3 Volume Mixing Ratio,mon,AERmon,3863.37,7332
rtmt,Net Downward Radiative Flux at Top of Model,mon,Amon,3854.24,324156
rsdcs4co2,Downwelling Clear-Sky Shortwave Radiation 4XCO2 Atmosphere,mon,CFmon,3839.55,3230
h2o,Mass Fraction of Water,mon,AERmon,3834.03,1942
mrro,Total Runoff,mon,Lmon,3814.19,869505
dfe,Dissolved Iron Concentration,yr,Oyr,3780.30,19437
lai,Leaf Area Index,mon,Lmon,3755.52,648567
clwvi,Condensed Water Path,mon,Amon,3743.80,346018
tntrscs,Tendency of Air Temperature Due to Clear Sky Shortwave Radiative Heating,mon,Emon,3737.44,1348
ph,pH,yr,Oyr,3697.05,36076
gpp,Carbon Mass Flux out of Atmosphere Due to Gross Primary Production on Land [kgC m-2 s-1],mon,Lmon,3695.29,603290
hcho,Formaldehyde Volume Mixing Ratio,mon,AERmon,3693.60,6787
prsnc,Convective Snowfall Flux,3hr,E3hr,3655.15,79
spco2,Surface Aqueous Partial Pressure of CO2,mon,Omon,3600.02,82317
rld,Downwelling Longwave Radiation,subhrPt,CFsubhr,3593.38,5072
chlpico,Mass Concentration of Picophytoplankton Expressed as Chlorophyll in Sea Water,mon,Omon,3590.56,1814
rldcs,Downwelling Clear-Sky Longwave Radiation,subhrPt,CFsubhr,3588.80,5363
talk,Total Alkalinity,yr,Oyr,3575.32,23588
mrsos,Moisture in Upper Portion of Soil Column,mon,Lmon,3540.43,695236
chlos,Surface Mass Concentration of Total Phytoplankton Expressed as Chlorophyll in Sea Water,mon,Omon,3513.50,84347
rsntds,Net Downward Shortwave Radiation at Sea Water Surface,mon,Omon,3499.50,125700
hus850,Specific Humidity,day,Eday,3499.16,56525
po4,Total Dissolved Inorganic Phosphorus Concentration,yr,Oyr,3495.81,20016
tsl,Temperature of Soil,6hrPt,6hrPlevPt,3444.40,19844
sitemptop,Surface Temperature of Sea Ice,day,SIday,3383.84,14690
lossco,Monthly Loss of Atmospheric Carbon Monoxide,mon,AERmon,3351.74,7356
wsgmax10m,Maximum Wind Speed of Gust at 10m,6hr,6hrPlev,3343.08,7747
clivi,Ice Water Path,day,CFday,3334.79,9049
loaddust,Load of Dust,day,Eday,3327.47,8262
expc,Downward Flux of Particulate Organic Carbon,yr,Oyr,3304.40,17608
hfx,Ocean Heat X Transport,mon,Omon,3302.29,83884
rlu,Upwelling Longwave Radiation,subhrPt,CFsubhr,3300.77,3983
uas,Eastward Near-Surface Wind,6hr,6hrPlevPt,3256.53,9688
prsn,Snowfall Flux,mon,Omon,3216.16,99694
prlsprof,Stratiform Rainfall Flux,3hrPt,CF3hr,3198.83,865
opottemppadvect,Tendency of Sea Water Potential Temperature Expressed as Heat Content Due to Parameterized Eddy Advection,mon,Emon,3186.72,794
conccmcn,Number Concentration Coarse Mode Aerosol,mon,Emon,3177.69,860
tnhusscpbl,Tendency of Specific Humidity Due to Stratiform Cloud and Precipitation and Boundary Layer Mixing,subhrPt,CFsubhr,3084.38,4912
loadoa,Load of Dry Aerosol Organic Matter,day,Eday,3058.46,6213
loadss,Load of Sea-Salt Aerosol,day,Eday,3043.64,5965
loadso4,Load of SO4,day,Eday,3019.66,6246
vas,Northward Near-Surface Wind,6hr,6hrPlevPt,3018.04,9919
hcl,HCl Volume Mixing Ratio,mon,AERmon,3006.00,1266
arag,Aragonite Concentration,mon,Omon,2991.31,3222
mrsll,Liquid Water Content of Soil Layer,mon,Emon,2960.21,33939
epc100,Downward Flux of Particulate Organic Carbon,mon,Omon,2949.60,44532
clwvi,Condensed Water Path,day,CFday,2947.90,9168
ocontemptend,Tendency of Sea Water Conservative Temperature Expressed as Heat Content,mon,Emon,2938.65,567
phycos,Sea Surface Phytoplankton Carbon Concentration,day,Oday,2907.18,1682
rlucs,Upwelling Clear-Sky Longwave Radiation,subhrPt,CFsubhr,2888.32,4307
ocontemppmdiff,Tendency of Sea Water Conservative Temperature Expressed as Heat Content Due to Parameterized Mesoscale Diffusion,mon,Emon,2885.64,392
isop,Isoprene Volume Mixing Ratio,mon,AERmon,2869.08,7400
tnhusd,Tendency of Specific Humidity Due to Numerical Diffusion,mon,CFmon,2865.59,1196
clc,Convective Cloud Area Percentage,3hrPt,CF3hr,2849.75,966
ua,Eastward Wind,day,EdayZ,2845.51,32713
ocontemppadvect,Tendency of Sea Water Conservative Temperature Expressed as Heat Content Due to Parameterized Eddy Advection,mon,Emon,2840.28,395
ocontemprmadvect,Tendency of Sea Water Conservative Temperature Expressed as Heat Content Due to Residual Mean Advection,mon,Emon,2818.02,402
cli,Mass Fraction of Cloud Ice,subhrPt,CFsubhr,2796.18,1868
ta700,Air Temperature,day,CFday,2787.97,9377
siconca,Sea-Ice Area Percentage (Atmospheric Grid),day,SIday,2779.20,111059
ocontempdiff,Tendency of Sea Water Conservative Temperature Expressed as Heat Content Due to Parameterized Dianeutral Mixing,mon,Emon,2773.43,484
photo1d,"Photolysis Rate of Ozone (O3) to Excited Atomic Oxygen (the Singlet D State, O1D)",mon,AERmon,2764.45,1694
sossq,Square of Sea Surface Salinity,day,Oday,2760.44,2474
hus,Specific Humidity,6hr,6hrPlevPt,2693.46,8072
gpp,Carbon Mass Flux out of Atmosphere Due to Gross Primary Production on Land [kgC m-2 s-1],3hr,E3hr,2645.21,3232
pfull,Pressure at Model Full-Levels,3hrPt,CF3hr,2630.31,321
tntc,Tendency of Air Temperature Due to Convection,subhrPt,CFsubhr,2628.00,4275
pan,PAN Volume Mixing Ratio,mon,AERmon,2590.37,5560
tntpbl,Tendency of Air Temperature Due to Boundary Layer Mixing,mon,Emon,2580.13,2189
c3h8,C3H8  volume mixing ratio,mon,AERmon,2547.88,5632
phalf,Pressure on Model Half-Levels,mon,AERmon,2540.39,6529
wbptemp,Wet Bulb Potential Temperature,6hrPt,6hrPlevPt,2536.20,1270
cl,Percentage Cloud Cover,subhrPt,CFsubhr,2534.59,2723
pfull,Pressure at Model Full-Levels,subhrPt,CFsubhr,2521.26,346
ec550aer,Aerosol Extinction Coefficient,mon,Emon,2511.03,879
siv,Y-Component of Sea-Ice Velocity,mon,SImon,2503.60,256157
opottemptend,Tendency of Sea Water Potential Temperature Expressed as Heat Content,yr,Oyr,2480.89,6568
tnhuspbl,Tendency of Specific Humidity Due to Boundary Layer Mixing,mon,Emon,2461.80,1903
siu,X-Component of Sea-Ice Velocity,mon,SImon,2459.64,247904
c2h6,C2H6 Volume Mixing Ratio,mon,AERmon,2439.59,5804
ch3coch3,CH3COCH3  volume mixing ratio,mon,AERmon,2439.22,5834
rsu,Upwelling Shortwave Radiation,subhrPt,CFsubhr,2398.67,4105
dpco2,Delta CO2 Partial Pressure,mon,Omon,2398.38,42686
osaltpmdiff,Tendency of Sea Water Salinity Expressed as Salt Content Due to Parameterized Mesoscale Diffusion,yr,Oyr,2396.99,4852
landcoverfrac,Percentage of Area by Vegetation or Land-Cover Category,mon,Lmon,2392.43,70466
rsd,Downwelling Shortwave Radiation,subhrPt,CFsubhr,2368.65,3991
tnhusc,Tendency of Specific Humidity Due to Convection,subhrPt,CFsubhr,2365.09,4436
osaltpadvect,Tendency of Sea Water Salinity Expressed as Salt Content Due to Parameterized Eddy Advection,yr,Oyr,2357.61,4925
osaltrmadvect,Tendency of Sea Water Salinity Expressed as Salt Content Due to Residual Mean Advection,yr,Oyr,2340.89,4912
osaltdiff,Tendency of Sea Water Salinity Expressed as Salt Content Due to Parameterized Dianeutral Mixing,yr,Oyr,2330.04,4901
emilnox,Layer-Integrated Lightning Production of NOx,mon,AERmon,2328.74,11973
mrros,Surface Runoff,mon,Lmon,2325.94,725243
prsnc,Convective Snowfall Flux,3hrPt,CF3hr,2325.16,1023
osalttend,Tendency of Sea Water Salinity Expressed as Salt Content,yr,Oyr,2314.47,4843
n2o,Mole Fraction of N2O,mon,Amon,2306.66,2877
npp,Net Primary Production on Land as Carbon Mass Flux [kgC m-2 s-1],mon,Lmon,2301.38,408105
chegpso4,Gas-Phase Production Rate of SO4,mon,AERmon,2280.65,6189
prrc,Convective Rainfall Rate,3hr,E3hr,2225.87,832
mrsos,Moisture in Upper Portion of Soil Column,3hr,3hr,2221.34,4715
clws,Mass Fraction of Stratiform Cloud Liquid Water,3hrPt,CF3hr,2184.91,852
rsucs,Upwelling Clear-Sky Shortwave Radiation,subhrPt,CFsubhr,2162.24,4128
rsdcs,Downwelling Clear-Sky Shortwave Radiation,subhrPt,CFsubhr,2159.32,3908
tnhusd,Tendency of Specific Humidity Due to Numerical Diffusion,subhrPt,CFsubhr,2135.27,181
mcu,Convective Updraft Mass Flux,mon,CFmon,2111.22,3403
evs,Water Evaporation Flux Where Ice Free Ocean over Sea,mon,Omon,2108.96,80789
phyc,Phytoplankton Carbon Concentration,yr,Oyr,2100.38,9206
rsdsdiff,Surface Diffuse Downwelling Shortwave Radiation,day,Eday,2087.31,3313
rsucs,Upwelling Clear-Sky Shortwave Radiation,3hrPt,E3hrPt,2064.05,292
sispeed,Sea-Ice Speed,day,SIday,2062.01,24586
expcalc,Downward Flux of Calcite,yr,Oyr,2060.44,5615
simass,Sea-Ice Mass per Area,mon,SImon,2046.78,203030
remoc,Remineralization of Organic Carbon,yr,Oyr,2038.09,9049
edt,Eddy Diffusivity Coefficient for Temperature,mon,CFmon,2012.72,851
ec550aer,Aerosol Extinction Coefficient,6hrPt,6hrLev,2007.68,600
expsi,Sinking Particulate Silicon Flux,yr,Oyr,2003.80,7528
snw,Surface Snow Amount,mon,LImon,1998.70,888753
mmrpm1,PM1.0 Mass Mixing Ratio,mon,AERmon,1989.12,4626
so,Sea Water Salinity,day,Oday,1978.55,794
cls,Percentage Cover of Stratiform Cloud,3hrPt,CF3hr,1966.60,485
evu,Eddy Viscosity Coefficient for Momentum,mon,CFmon,1961.87,830
tob,Sea Water Potential Temperature at Sea Floor,mon,Omon,1958.58,65171
mmraerh2o,Aerosol Water Mass Mixing Ratio,mon,AERmon,1952.13,6696
dissicnat,Natural Dissolved Inorganic Carbon Concentration,yr,Oyr,1949.61,7101
clw,Mass Fraction of Cloud Liquid Water,subhrPt,CFsubhr,1944.31,2305
v2,Mean-Squared Northward Wind Speed,mon,Emon,1940.29,550
mrsos,Moisture in Upper Portion of Soil Column,6hrPt,6hrPlevPt,1927.24,6022
nbp,Carbon Mass Flux out of Atmosphere Due to Net Biospheric Production on Land [kgC m-2 s-1],mon,Lmon,1925.95,298128
pp,Primary Carbon Production by Phytoplankton,yr,Oyr,1914.10,15205
jno2,Photolysis Rate of NO2,mon,AERmon,1907.77,4998
sisnthick,Snow Thickness,mon,SImon,1894.69,178202
mlotstmax,Maximum Ocean Mixed Layer Thickness Defined by Sigma T,mon,Omon,1893.43,83963
u2,Mean-Squared Eastward Wind Speed,mon,Emon,1889.25,635
prcprof,Convective Rainfall Flux,3hrPt,CF3hr,1857.53,472
tntscp,Tendency of Air Temperature Due to Stratiform Clouds and Precipitation,mon,Emon,1831.60,1810
sfcwind,Near-Surface Wind Speed,3hrPt,CF3hr,1828.09,3319
co3,Carbonate Ion Concentration,yr,Oyr,1820.83,4838
mmrpm10,PM10 Mass Mixing Ratio,mon,AERmon,1818.94,4646
loadpoa,Load of Dry Aerosol Primary Organic Matter,day,Eday,1818.06,4653
tauvpbl,Northward Surface Stress from Planetary Boundary Layer Scheme,day,Eday,1812.44,3542
reffclws,Stratiform Cloud Liquid Droplet Effective Radius,mon,Emon,1803.87,2900
nh4,Dissolved Ammonium Concentration,yr,Oyr,1788.66,3015
no3os,Surface Dissolved Nitrate Concentration,mon,Omon,1785.43,32776
utendnogw,Eastward Acceleration Due to Non-Orographic Gravity Wave Drag,mon,Emon,1772.22,1268
tauupbl,Eastward Surface Stress from Planetary Boundary Layer Scheme,day,Eday,1766.97,3481
tnhusscp,Tendency of Specific Humidity Due to Stratiform Clouds and Precipitation,mon,Emon,1751.00,1844
utendogw,Eastward Acceleration Due to Orographic Gravity Wave Drag,mon,Emon,1736.42,2881
opottemppmdiff,Tendency of Sea Water Potential Temperature Expressed as Heat Content Due to Parameterized Mesoscale Diffusion,yr,Oyr,1729.46,4723
phalf,Pressure on Model Half-Levels,3hrPt,CF3hr,1728.03,304
sfcwind,Near-Surface Wind Speed,6hr,6hrPlev,1727.18,5275
phalf,Pressure on Model Half-Levels,subhrPt,CFsubhr,1722.50,321
opottemprmadvect,Tendency of Sea Water Potential Temperature Expressed as Heat Content Due to Residual Mean Advection,yr,Oyr,1722.36,4794
detoc,Detrital Organic Carbon Concentration,yr,Oyr,1706.97,10562
opottemppadvect,Tendency of Sea Water Potential Temperature Expressed as Heat Content Due to Parameterized Eddy Advection,yr,Oyr,1694.85,4684
fgo2,Surface Downward Flux of O2,mon,Omon,1687.26,29889
toz,Total Column Ozone,day,AERday,1683.56,6476
rv850,Relative Vorticity at 850hPa,6hr,6hrPlev,1683.07,2690
opottempdiff,Tendency of Sea Water Potential Temperature Expressed as Heat Content Due to Parameterized Dianeutral Mixing,yr,Oyr,1674.62,4809
wbptemp,Wet Bulb Potential Temperature,6hr,6hrPlevPt,1637.68,1317
rls,Net Longwave Surface Radiation,day,day,1629.82,3313
tas,Near-Surface Air Temperature,6hr,6hrPlevPt,1628.62,6614
clis,Mass Fraction of Stratiform Cloud Ice,3hrPt,CF3hr,1627.77,470
ts,Surface Temperature,3hrPt,CF3hr,1618.80,1844
zooc,Zooplankton Carbon Concentration,yr,Oyr,1618.23,6373
cveg,Carbon Mass in Vegetation,mon,Lmon,1615.52,285292
rsdcs,Downwelling Clear-Sky Shortwave Radiation,3hrPt,E3hrPt,1612.82,234
tslsi,Surface Temperature Where Land or Sea Ice,3hr,3hr,1606.00,2612
rss,Net Shortwave Surface Radiation,day,day,1603.43,4704
cldnvi,Column Integrated Cloud Droplet Number,day,Eday,1571.14,2908
clwc,Mass Fraction of Convective Cloud Liquid Water,mon,CFmon,1564.69,1698
difvho,Ocean Vertical Heat Diffusivity,yr,Oyr,1558.01,3894
co23d,3D-Field of Transported CO2,mon,Emon,1542.17,2114
graz,Total Grazing of Phytoplankton by Zooplankton,yr,Oyr,1540.02,12185
mmrno3,NO3 Aerosol Mass Mixing Ratio,mon,AERmon,1530.39,10322
dissoc,Dissolved Organic Carbon Concentration,yr,Oyr,1504.39,8148
rh,Total Heterotrophic Respiration on Land as Carbon Mass Flux [kgC m-2 s-1],3hr,E3hr,1499.73,838
evspsblsoi,Water Evaporation from Soil,mon,Lmon,1475.85,191752
ps,Surface Air Pressure,3hrPt,E3hrPt,1469.90,3943
t20d,Depth of 20 degree Celsius Isotherm,day,Eday,1469.64,2194
abs550aer,Ambient Aerosol Absorption Optical Thickness at 550nm,mon,AERmon,1466.17,61390
c3h6,C3H6  volume mixing ratio,mon,AERmon,1451.42,5352
tntrl,Tendency of Air Temperature Due to Longwave Radiative Heating,mon,Emon,1433.25,2678
pctisccp,ISCCP Mean Cloud Top Pressure,day,CFday,1432.19,2455
cldicemxrat,Cloud Ice Mixing Ratio,6hrPt,6hrPlevPt,1430.32,171
dcalc,Calcite Dissolution,yr,Oyr,1416.58,4617
hfls,Surface Upward Latent Heat Flux,day,Eday,1408.75,6946
tasmax,TOA Outgoing Clear-Sky Shortwave Radiation,day,day,1408.72,8411
mlotstmin,Minimum Ocean Mixed Layer Thickness Defined by Sigma T,mon,Omon,1406.02,65004
lossn2o,Monthly Loss of Atmospheric Nitrous Oxide,mon,AERmon,1389.37,616
hflso,Surface Downward Latent Heat Flux,mon,Omon,1387.93,8135
loadsoa,Load of Dry Aerosol Secondary Organic Matter,day,Eday,1360.49,3001
difvso,Ocean Vertical Salt Diffusivity,yr,Oyr,1354.41,3696
rh,Total Heterotrophic Respiration on Land as Carbon Mass Flux [kgC m-2 s-1],mon,Lmon,1353.02,221891
hfsso,Surface Downward Sensible Heat Flux,mon,Omon,1338.34,9645
twap,Product of Air Temperature and Omega,mon,Emon,1333.25,288
phalf,Pressure on Model Half-Levels,mon,Amon,1316.19,1949
zossq,Square of Sea Surface Height Above Geoid,mon,Omon,1310.42,32351
zg1000,Geopotential Height at 1000hPa,6hr,6hrPlev,1303.87,2977
mrsfl,Frozen Water Content of Soil Layer,mon,Emon,1295.61,7153
edt,Eddy Diffusivity Coefficient for Temperature,subhrPt,CFsubhr,1293.86,204
siconca,Sea-Ice Area Percentage (Atmospheric Grid),mon,SImon,1287.14,642137
pfull,Pressure at Model Full-Levels,mon,Amon,1284.04,2253
smc,Shallow Convective Mass Flux,mon,CFmon,1280.38,4833
od550dust,Dust Optical Thickness at 550nm,mon,AERmon,1276.71,44278
prra,Rainfall Flux over Land Ice,3hr,E3hr,1271.03,2774
expfe,Sinking Particulate Iron Flux,yr,Oyr,1270.99,1511
cldwatmxrat,Cloud Water Mixing Ratio,6hrPt,6hrPlevPt,1260.25,184
ps,Surface Air Pressure,mon,AERmon,1253.28,77247
rsdoabsorb,Net Rate of Absorption of Shortwave Energy in Ocean Layer,yr,Oyr,1252.34,4474
phyfe,Mole Concentration of Total Phytoplankton Expressed as Iron in Sea Water,yr,Oyr,1251.90,7750
bsi,Mole Concentration of Particulate Organic Matter Expressed as Silicon in Sea Water,yr,Oyr,1248.82,6134
tdps,2m Dewpoint Temperature,mon,Emon,1238.82,37471
chldiat,Mass Concentration of Diatoms Expressed as Chlorophyll in Sea Water,yr,Oyr,1230.69,2483
vt,Product of Air Temperature and Northward Wind,mon,Emon,1227.37,398
nh50,Artificial Tracer with 50 Day Lifetime,mon,AERmon,1226.95,200
uv,Product of Eastward Wind and Northward Wind,mon,Emon,1217.35,407
albisccp,ISCCP Mean Cloud Albedo,day,CFday,1213.03,2321
evu,Eddy Viscosity Coefficient for Momentum,subhrPt,CFsubhr,1212.96,188
csoil,Carbon Mass in Model Soil Pool,mon,Emon,1195.42,205779
clic,Mass Fraction of Convective Cloud Ice,mon,CFmon,1188.48,1601
evspsblveg,Evaporation from Canopy,mon,Lmon,1163.61,174320
rsdscsdiff,Surface Diffuse Downwelling Clear Sky Shortwave Radiation,day,Eday,1162.89,2765
snd,Snow Depth,mon,LImon,1158.52,416454
ficeberg,Water Flux into Sea Water from Icebergs,mon,Omon,1147.65,22206
rss,Net Shortwave Surface Radiation,mon,Emon,1141.53,111263
tos,Sea Surface Temperature,mon,Amon,1140.10,380611
concnmcn,Number Concentration of Nucleation Mode Aerosol,mon,Emon,1126.59,429
bacc,Bacterial Carbon Concentration,mon,Omon,1123.62,694
epcalc100,Downward Flux of Calcite,mon,Omon,1119.09,18006
c2h2,C2H2 Volume Mixing Ratio,mon,AERmon,1116.63,195
pcalc,Calcite Production,yr,Oyr,1115.68,5394
talknat,Natural Total Alkalinity,yr,Oyr,1111.63,6348
bfe,Mole Concentration of Particulate Organic Matter Expressed as Iron in Sea Water,yr,Oyr,1110.86,5050
nep,Net Carbon Mass Flux out of Atmosphere due to Net Ecosystem Productivity on Land [kgC m-2 s-1],mon,Emon,1109.99,225545
co3satarag,Mole Concentration of Carbonate Ion in Equilibrium with Pure Aragonite in Sea Water,yr,Oyr,1108.88,3596
mc,Convective Mass Flux,subhrPt,CFsubhr,1106.05,1214
co3satcalc,Mole Concentration of Carbonate Ion in Equilibrium with Pure Calcite in Sea Water,yr,Oyr,1104.97,3457
intdic,Dissolved Inorganic Carbon Content,mon,Omon,1103.41,16594
ps,Surface Air Pressure,mon,Emon,1099.41,93750
hfss,Surface Upward Sensible Heat Flux,day,Eday,1099.34,5095
sob,Sea Water Salinity at Sea Floor,mon,Omon,1098.24,59057
sfo3max,Daily Maximum O3 Volume Mixing Ratio in Lowest Model Layer,day,AERday,1096.06,6257
tran,Transpiration,mon,Lmon,1093.52,185983
ra,Carbon Mass Flux into Atmosphere Due to Autotrophic (Plant) Respiration on Land [kgC m-2 s-1],3hr,E3hr,1093.50,576
physi,Mole Concentration of Total Phytoplankton Expressed as Silicon in Sea Water,yr,Oyr,1071.89,5269
clwc,Mass Fraction of Convective Cloud Liquid Water,3hrPt,CF3hr,1054.34,247
va100m,Northward Wind at 100m,6hr,6hrPlev,1051.99,2190
clws,Mass Fraction of Stratiform Cloud Liquid Water,mon,CFmon,1050.86,1710
pathetao,Sea Water Additional Potential Temperature,mon,Emon,1042.18,551
ta,Air Temperature,day,EdayZ,1040.90,28913
bddtdic,Rate of Change of Dissolved Inorganic Carbon Due to Biological Activity,yr,Oyr,1037.99,3829
cheaqpso4,Aqueous-Phase Production Rate of SO4,mon,AERmon,1036.03,6207
diftrblo,Ocean Tracer Diffusivity Due to Parameterized Mesoscale Advection,yr,Oyr,1028.65,1526
rlntds,Surface Net Downward Longwave Radiation,mon,Omon,1025.69,5592
sisnmass,Snow Mass per Area,mon,SImon,1019.47,102211
calc,Calcite Concentration,yr,Oyr,1017.61,5024
fescav,Non-Biogenic Iron Scavenging,yr,Oyr,1017.01,1320
snc,Snow Area Percentage,mon,LImon,1005.15,463061
ra,Carbon Mass Flux into Atmosphere Due to Autotrophic (Plant) Respiration on Land [kgC m-2 s-1],mon,Lmon,1002.69,170073
scldncl,Cloud Droplet Number Concentration of Stratiform Cloud Tops,day,Eday,1002.64,2847
reffclis,Hydrometeor Effective Radius of Stratiform Cloud Ice,mon,Emon,1000.10,789
rlut,TOA Outgoing Longwave Radiation,subhrPt,Esubhr,998.14,60
reffsclwtop,Cloud-Top Effective Droplet Radius in Stratiform Cloud,day,Eday,975.52,2924
ua10,Eastward Wind at 10hPa,day,AERday,963.87,1249
sf6,Mole Concentration of SF6 in Sea Water,yr,Oyr,959.74,16716
bddtalk,Rate of Change of Alkalinity Due to Biological Activity,yr,Oyr,953.99,3527
sitimefrac,Fraction of Time Steps with Sea Ice,day,SIday,952.67,10852
bddtdife,Rate of Change of Dissolved Inorganic Iron Due to Biological Activity,yr,Oyr,951.72,3505
siitdconc,Sea-Ice Area Percentages in Thickness Categories,mon,SImon,951.12,3099
ocontemptend,Tendency of Sea Water Conservative Temperature Expressed as Heat Content,yr,Oyr,935.93,602
hur,Evaporation Including Sublimation and Transpiration,day,day,924.29,1576
cct,Air Pressure at Convective Cloud Top,day,CFday,923.75,2809
tntmp,Tendency of Air Temperature Due to Model Physics,mon,Emon,919.86,1556
phalf,Pressure on Model Half-Levels,monC,Amon,918.91,1529
sitemptop,Surface Temperature of Sea Ice,mon,SImon,913.12,149906
phycos,Sea Surface Phytoplankton Carbon Concentration,mon,Omon,912.94,9087
ua,Eastward Wind,monC,Amon,906.55,576
dissicabio,Abiotic Dissolved Inorganic Carbon Concentration,yr,Oyr,906.47,1608
sios,Surface Total Dissolved Inorganic Silicon Concentration,mon,Omon,905.88,17887
ut,Product of Air Temperature and Eastward Wind,mon,Emon,902.67,367
