number_of_downloads,total_size_GB,host_name
8540929,3013511.11,aims3.llnl.gov
405147,40018.70,data.meteo.unican.es
7167893,3953173.48,esg1.umr-cnrm.fr
43762525,2813664.98,esg-dn1.nsc.liu.se
10481339,1050502.75,esg-dn2.nsc.liu.se
170967,1563258.64,esg-dn3.nsc.liu.se
6138463,3055817.16,esgf1.dkrz.de
9408822,531052.22,esgf2.dkrz.de
54970793,4572889.32,esgf3.dkrz.de
32561945,1330259.79,esgf.bsc.es
136434,53855.05,esgf.ceda.ac.uk
1606703,629032.17,esgf-data1.ceda.ac.uk
29234289,6019786.06,esgf-data1.llnl.gov
25062,1738.78,esgf-data2.ceda.ac.uk
11883,3100.71,esgf-data2.llnl.gov
2341015,874613.93,esgf-data3.ceda.ac.uk
20509546,4452436.84,esgf-data3.llnl.gov
19593759,4252827.91,esgf-data4.llnl.gov
625396,211004.62,esgf-data5.ceda.ac.uk
862,43.75,esgf-data6.ceda.ac.uk
8949600,2517613.09,esgf-data7.ceda.ac.uk
5021792,3218151.28,esgf-data.ucar.edu
5583757,1592896.26,esgf.nci.org.au
1481057,938387.98,esgf-node2.cmcc.it
666243,178592.14,esgf-node.cmcc.it
2644271,3406711.95,vesg.ipsl.upmc.fr

