variable_code,variable_long_name,time_frequency,mip_table,total_size_GB,number_of_downloads
thetao,Sea Water Potential Temperature,mon,Omon,1920217.29,2468685
ua,Eastward Wind,mon,Amon,1848341.40,28272694
ua,Eastward Wind,6hrPt,6hrLev,1670537.29,180309
va,Northward Wind,6hrPt,6hrLev,1661719.76,175423
hus,Specific Humidity,6hrPt,6hrLev,1486795.65,171981
pr,Precipitation,day,day,1403182.86,7338741
ua,Eastward Wind,day,day,1378498.59,1351580
ta,Air Temperature,6hrPt,6hrLev,1365871.16,164972
va,Northward Wind,day,day,1317472.13,12017452
vo,Sea Water Y Velocity,mon,Omon,1090351.74,1069840
so,Sea Water Salinity,mon,Omon,1019149.74,1385323
uo,Sea Water X Velocity,mon,Omon,967581.35,1065845
ta,Air Temperature,day,day,824283.39,981166
tas,Near-Surface Air Temperature,day,day,781970.79,4681420
tasmax,Daily Maximum Near-Surface Air Temperature,day,day,759123.45,4662445
hus,Specific Humidity,day,day,720975.66,707779
zg,Geopotential Height,day,day,679209.38,871059
va,Northward Wind,mon,Amon,671571.03,3972805
tasmin,Daily Minimum Near-Surface Air Temperature,day,day,594131.24,3855818
ua,Eastward Wind,6hrPt,6hrPlevPt,559019.08,232165
tos,Sea Surface Temperature,day,Oday,517148.33,882043
ta,Air Temperature,6hrPt,6hrPlevPt,514211.48,172635
va,Northward Wind,6hrPt,6hrPlevPt,512991.22,219044
wap,Omega (=dp/dt),day,day,484317.25,370196
hus,Specific Humidity,6hrPt,6hrPlevPt,450785.67,64280
pr,Precipitation,3hr,3hr,410929.93,368439
hur,Relative Humidity,day,day,407141.41,361306
zg,Geopotential Height,6hrPt,6hrPlevPt,402541.91,94546
ta,Air Temperature,mon,Amon,392234.99,2950444
zg,Geopotential Height,mon,Amon,380239.74,3157353
wo,Sea Water Vertical Velocity,mon,Omon,377836.76,323016
hus,Specific Humidity,mon,Amon,328179.25,1984343
va,Northward Wind,day,CFday,308413.08,33316
hurs,Near-Surface Relative Humidity,day,day,290340.95,1610196
ua,Eastward Wind,day,CFday,287264.23,32847
hus,Specific Humidity,day,CFday,267486.17,28477
sfcwind,Near-Surface Wind Speed,day,day,260283.95,1454703
wap,Omega (=dp/dt),mon,Amon,252742.06,1252939
hur,Relative Humidity,day,CFday,246290.23,30816
psl,Sea Level Pressure,day,day,240322.03,1892485
ta,Air Temperature,day,CFday,225864.59,28565
tos,Sea Surface Temperature,mon,Omon,223561.82,7050808
ua,Eastward Wind,day,Eday,198675.43,94415
rsds,Surface Downwelling Shortwave Radiation,day,day,191397.94,921481
va,Northward Wind,day,Eday,186974.20,84991
zg,Geopotential Height,day,CFday,182742.97,22692
wap,Omega (=dp/dt),day,CFday,175568.49,19104
uas,Eastward Near-Surface Wind,day,day,168592.37,900699
vas,Northward Near-Surface Wind,day,day,167317.36,902601
hur,Relative Humidity,mon,Amon,165138.24,894168
uas,Eastward Near-Surface Wind,3hr,3hr,164511.32,126959
huss,Near-Surface Specific Humidity,day,day,162722.52,906667
tas,Near-Surface Air Temperature,3hr,3hr,159782.83,160414
vas,Northward Near-Surface Wind,3hr,3hr,158220.18,122467
vmo,Ocean Mass Y Transport,mon,Omon,154578.55,181793
zg,Geopotential Height,day,Eday,153211.28,90609
ta,Air Temperature,day,Eday,152913.67,103488
no3,Dissolved Nitrate Concentration,mon,Omon,144200.10,75956
huss,Near-Surface Specific Humidity,3hr,3hr,138838.65,105512
o2,Dissolved Oxygen Concentration,mon,Omon,137695.21,95365
hus,Specific Humidity,day,Eday,137465.77,62155
umo,Ocean Mass X Transport,mon,Omon,134941.66,165657
pr,Precipitation,mon,Amon,133052.75,13396508
chl,Mass Concentration of Total Phytoplankton Expressed as Chlorophyll in Sea Water,mon,Omon,130322.63,93933
pr,Precipitation,1hr,E1hr,128366.97,30189
dissic,Dissolved Inorganic Carbon Concentration,mon,Omon,128238.91,75875
cl,Percentage Cloud Cover,mon,Amon,115544.41,152510
tas,Near-Surface Air Temperature,mon,Amon,114847.91,14255761
wmo,Upward Ocean Mass Transport,mon,Omon,110511.24,119651
po4,Total Dissolved Inorganic Phosphorus Concentration,mon,Omon,107854.95,46224
ph,pH,mon,Omon,106081.07,60076
tas,Near-Surface Air Temperature,3hrPt,3hr,105795.74,118025
uas,Eastward Near-Surface Wind,3hrPt,3hr,105390.89,81325
vas,Northward Near-Surface Wind,3hrPt,3hr,101661.30,81795
ua,Eastward Wind,mon,AERmon,93761.40,105639
cli,Mass Fraction of Cloud Ice,day,CFday,91056.38,12578
rlds,Surface Downwelling Longwave Radiation,day,day,90964.20,466941
cl,Percentage Cloud Cover,day,CFday,88253.51,18360
huss,Near-Surface Specific Humidity,3hrPt,3hr,87923.32,74387
psl,Sea Level Pressure,6hrPt,6hrPlevPt,87203.08,210433
uas,Eastward Near-Surface Wind,3hr,E3hr,85950.58,69445
talk,Total Alkalinity,mon,Omon,85817.43,47221
mrsol,Total Water Content of Soil Layer,day,Eday,84504.64,100774
va,Northward Wind,mon,AERmon,84193.28,84312
hfls,Surface Upward Latent Heat Flux,day,day,82436.69,344113
sfcwindmax,Daily Maximum Near-Surface Wind Speed,day,day,80208.65,343376
vas,Northward Near-Surface Wind,3hr,E3hr,79948.79,60634
si,Total Dissolved Inorganic Silicon Concentration,mon,Omon,79532.48,30084
ta,Air Temperature,mon,CFmon,78274.13,110869
rsds,Surface Downwelling Shortwave Radiation,3hr,3hr,75839.83,90251
agessc,Sea Water Age Since Surface Contact,mon,Omon,75797.98,44530
rlut,TOA Outgoing Longwave Radiation,day,day,74889.18,359298
clw,Mass Fraction of Cloud Liquid Water,day,CFday,73861.89,14871
thkcello,Ocean Model Cell Thickness,mon,Omon,72548.77,130607
wap,Omega (=dp/dt),day,Eday,70465.76,26662
hfss,Surface Upward Sensible Heat Flux,day,day,70077.98,306731
hus,Specific Humidity,mon,CFmon,67057.42,81069
cli,Mass Fraction of Cloud Ice,mon,Amon,64129.27,70519
dfe,Dissolved Iron Concentration,mon,Omon,60741.39,23441
zg,Geopotential Height,mon,AERmon,58449.62,94060
rlds,Surface Downwelling Longwave Radiation,3hr,3hr,58290.41,49398
clw,Mass Fraction of Cloud Liquid Water,mon,Amon,57046.99,81072
psl,Sea Level Pressure,mon,Amon,56472.71,9212904
obvfsq,Square of Brunt Vaisala Frequency in Sea Water,mon,Omon,55088.40,68998
sfcwind,Near-Surface Wind Speed,3hr,E3hr,54379.80,41302
pfull,Pressure at Model Full-Levels,day,CFday,53003.01,8853
bigthetao,Sea Water Conservative Temperature,mon,Omon,52860.90,107763
zos,Sea Surface Height Above Geoid,mon,Omon,52656.46,1708298
zg500,Geopotential Height at 500hPa,day,AERday,52087.97,390521
masscello,Ocean Grid-Cell Mass per Area,mon,Omon,51136.69,121982
rlus,Surface Upwelling Longwave Radiation,day,day,49453.42,246949
dissoc,Dissolved Organic Carbon Concentration,mon,Omon,49085.78,17777
tos,Sea Surface Temperature,3hrPt,3hr,48041.63,20105
o3,Mole Fraction of O3,mon,AERmon,47542.97,67486
hursmin,Daily Minimum Near-Surface Relative Humidity,day,day,47289.82,200433
ps,Surface Air Pressure,3hrPt,3hr,47031.85,51777
phyc,Phytoplankton Carbon Concentration,mon,Omon,45740.58,23479
siconc,Sea-Ice Area Percentage (Ocean Grid),day,SIday,44737.35,312526
expc,Downward Flux of Particulate Organic Carbon,mon,Omon,44315.04,18644
evspsbl,Evaporation Including Sublimation and Transpiration,mon,Amon,44164.61,3813845
nh4,Dissolved Ammonium Concentration,mon,Omon,43881.33,9557
zooc,Zooplankton Carbon Concentration,mon,Omon,43538.96,22534
hur,Relative Humidity,mon,CFmon,42620.14,46929
co3,Carbonate Ion Concentration,mon,Omon,42201.32,15595
rsus,Surface Upwelling Shortwave Radiation,day,day,41476.75,189404
prsn,Snowfall Flux,day,day,41236.71,379879
clt,Total Cloud Cover Percentage,day,day,41223.05,203669
prc,Convective Precipitation,day,day,40230.33,289972
hfls,Surface Upward Latent Heat Flux,3hr,3hr,39944.13,31296
hfss,Surface Upward Sensible Heat Flux,3hr,3hr,38262.16,26758
ps,Surface Air Pressure,day,CFday,37854.11,159645
mmrdust,Dust Aerosol Mass Mixing Ratio,mon,AERmon,37572.86,42786
mmrss,Sea-Salt Aerosol Mass Mixing Ratio,mon,AERmon,37231.14,41396
tsl,Temperature of Soil,day,Eday,36179.48,25239
mlotst,Ocean Mixed Layer Thickness Defined by Sigma T,mon,Omon,36167.29,1298418
sos,Sea Surface Salinity,mon,Omon,34679.13,1398069
mmrbc,Elemental Carbon Mass Mixing Ratio,mon,AERmon,34551.69,45783
mmrso4,Aerosol Sulfate Mass Mixing Ratio,mon,AERmon,34386.70,43337
ts,Surface Temperature,mon,Amon,33567.16,3426982
hus,Specific Humidity,6hr,6hrPlev,33291.90,11994
psl,Sea Level Pressure,6hr,6hrPlev,32984.60,96526
pp,Primary Carbon Production by Phytoplankton,mon,Omon,32891.27,19820
siconc,Sea-Ice Area Percentage (Ocean Grid),mon,SImon,32185.01,3357906
rlus,Surface Upwelling Longwave Radiation,3hr,3hr,32108.58,27931
vas,Northward Near-Surface Wind,6hrPt,6hrPlevPt,32091.92,60851
phalf,Pressure on Model Half-Levels,day,CFday,32041.23,7292
hus,Specific Humidity,6hr,6hrLev,31946.59,2431
hus,Specific Humidity,subhrPt,Esubhr,31431.27,3797
va,Northward Wind,3hrPt,E3hrPt,31276.19,11598
ua,Eastward Wind,3hrPt,E3hrPt,30276.17,11224
sfo3,O3 Volume Mixing Ratio in Lowest Model Layer,1hr,AERhr,30251.47,19999
hursmax,Daily Maximum Near-Surface Relative Humidity,day,day,29628.90,126947
ta,Air Temperature,6hr,6hrLev,29474.66,3573
wap,Omega (=dp/dt),6hr,6hrPlev,29407.46,9852
o3,Mole Fraction of O3,mon,Amon,29289.33,58451
rsds,Surface Downwelling Shortwave Radiation,mon,Amon,28722.84,2609388
tas,Near-Surface Air Temperature,1hr,AERhr,28708.79,24573
ta,Air Temperature,subhrPt,Esubhr,28552.99,3060
mrsos,Moisture in Upper Portion of Soil Column,day,day,28394.82,268540
detoc,Detrital Organic Carbon Concentration,mon,Omon,28337.68,13246
phydiat,Mole Concentration of Diatoms Expressed as Carbon in Sea Water,mon,Omon,28266.18,7696
sos,Sea Surface Salinity,day,Oday,28189.20,31756
rsdo,Downwelling Shortwave Radiation in Sea Water,mon,Omon,27734.11,13200
